6	FFFFFF	☆Steel Falchion		1	0	1		465 467 469 466 468 470 473 474 1284 1275 1277 1295 1289 1290 1293
11	FFFFFF	☆I-Beam Sledgehammer		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
12	FFFFFF	☆Folded Iron Falchion		1	0	1		465 467 469 466 468 470 473 474 1284 1275 1277 1295 1289 1290 1293
19	FFFFFF	☆Bronze Sword		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
20	FFFFFF	☆Tempered Iron Sword		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
21	FFFFFF	☆Refined Sword		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
22	FFFFFF	☆Nature's Blade		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
28	FFFFFF	☆Wraithnob Falchion		1	0	1		465 467 469 466 468 470 473 474 1284 1275 1277 1295 1289 1290 1293
29	FFFFFF	☆Battle Falchion		1	0	1		465 467 469 466 468 470 473 474 1284 1275 1277 1295 1289 1290 1293
36	FFFFFF	☆Mother and Son Blades		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
37	FFFFFF	☆Inamorato Dual Sword		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
39	FFFFFF	☆Linked Blades		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
40	FFFFFF	☆Yin and Yang		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
41	FFFFFF	☆Kan and Li		1	0	1		465 467 469 466 468 470 473 474 1284 1282 1280 1295 1289 1290 1293
47	FFFFFF	☆Willow Leaf Blades		1	0	1		465 467 469 466 468 470 473 474 1284 1275 1277 1294 1289 1290 1293
48	FFFFFF	☆Butterfly Blades		1	0	1		465 467 469 466 468 470 473 474 1284 1275 1277 1294 1289 1290 1293
49	FFFFFF	☆Coalition Blades		1	0	1		465 467 469 466 468 470 473 474 1284 1275 1277 1294 1289 1290 1293
50	FFFFFF	☆Ringchain Blades		1	0	1		465 467 469 466 468 470 473 474 1284 1275 1277 1294 1289 1290 1293
57	FFFFFF	☆Steel Spear		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1285 1289 1290 1293
58	FFFFFF	☆Giant Spear		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1285 1289 1290 1293
59	FFFFFF	☆Silver Spear		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1285 1289 1290 1293
60	FFFFFF	☆Viper Spear		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1285 1289 1290 1293
67	FFFFFF	☆Worn Glaive		1	0	1		465 467 469 466 468 470 473 474 1287 1297 1278 1285 1289 1290 1293
68	FFFFFF	☆Leaf Cutter		1	0	1		465 467 469 466 468 470 473 474 1287 1297 1278 1285 1289 1290 1293
69	FFFFFF	☆Chopping Scythe		1	0	1		465 467 469 466 468 470 473 474 1287 1297 1278 1285 1289 1290 1293
70	FFFFFF	☆Steedslayer Scythe		1	0	1		465 467 469 466 468 470 473 474 1287 1297 1278 1285 1289 1290 1293
74	FFFFFF	☆Silver Carp Scythe		1	0	1		465 467 469 466 468 470 473 474 1287 1297 1278 1285 1289 1290 1293
77	FFFFFF	Staff		1	0	1		1275 1276 1277 1278 1279 1280 1281 1282 1283 1293 1285 1286 1295 1301
78	FFFFFF	Uniglabella Staff		1	0	1		1275 1276 1277 1278 1279 1280 1281 1282 1283 1293 1285 1286 1295 1301
79	FFFFFF	DracoEntwine Staves		1	0	1		1275 1276 1277 1278 1279 1280 1281 1282 1283 1293 1285 1286 1295 1301
80	FFFFFF	NineAuris Stannic Staff		1	0	1		1275 1276 1277 1278 1279 1280 1281 1282 1283 1293 1285 1286 1295 1301
81	FFFFFF	Demonic Insanity Staff		1	0	1		1275 1276 1277 1278 1279 1280 1281 1282 1283 1293 1285 1286 1295 1301
87	FFFFFF	☆Bramble club		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1294 1289 1290 1293
88	FFFFFF	☆Spiked club		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1294 1289 1290 1293
89	FFFFFF	☆Copper Head Club		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1294 1289 1290 1293
90	FFFFFF	☆Goosetail Mace		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1294 1289 1290 1293
100	FFFFFF	☆Stone Hand Axes		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
101	FFFFFF	☆Short Handled Hand Axes		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
102	FFFFFF	☆Broad Bladed Hand Axes		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
103	FFFFFF	☆Gold Plated Handaxes		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
109	FFFFFF	☆Lithic Poleaxe		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
110	FFFFFF	☆Bronze Poleaxe		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
111	FFFFFF	☆Floral Poleaxe		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
112	FFFFFF	☆Giant Poleaxe		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
115	FFFFFF	☆Bucktooth Poleaxe		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
119	FFFFFF	☆Rock Hammer		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
120	FFFFFF	☆Smithy's Hammer		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
121	FFFFFF	☆Silver Hammer		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
123	FFFFFF	☆Crescent Moon Scythe		1	0	1		465 467 469 466 468 470 473 474 1287 1297 1278 1285 1289 1290 1293
124	FFFFFF	☆Phoenix Beak Scythe		1	0	1		465 467 469 466 468 470 473 474 1287 1297 1278 1285 1289 1290 1293
126	FFFFFF	Massacre Drifting Staves		1	0	1		1275 1276 1277 1278 1279 1280 1281 1282 1283 1293 1285 1286 1295 1301
129	FFFFFF	☆Springsource Spear		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1285 1289 1290 1293
130	FFFFFF	☆Furnace Spear		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1285 1289 1290 1293
131	FFFFFF	☆Spirit Breaker		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1294 1289 1290 1293
132	FFFFFF	☆Rapacious Mace		1	0	1		465 467 469 466 468 470 473 474 1287 1275 1278 1294 1289 1290 1293
136	FFFFFF	☆Pisces' Tail Handaxes		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
138	FFFFFF	☆Master's Handaxes		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
143	FFFFFF	☆Earth Splitter		1	0	1		465 467 469 466 468 470 473 474 1288 1297 1279 1294 1289 1290 1293
